suite,family,adapter,instance,instance_group,planner,heuristic,variant,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,bfs,,,,0,0,15.0,2048,solved,True,True,0.0010677149999978042,2,2,,,2,5,0,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.0013705100000009907,2,2,,,2,5,5,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.0015247790000003647,2,2,,,2,5,5,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,blocksworld/problem,blocksworld,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.0011894220000030487,2,2,,,2,5,5,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,pallet/problem,pallet,bfs,,,,0,0,15.0,2048,solved,True,True,0.0025448940000032394,12,12,,,124,298,0,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,pallet/problem,pallet,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.0023621229999974958,12,12,,,12,33,25,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,lmcut,,,0,0,15.0,2048,solved,True,True,0.040876077000000066,12,12,,,127,304,128,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,pallet/problem,pallet,astar,hmax,,,0,0,15.0,2048,solved,True,True,0.0058658089999994445,12,12,,,127,304,128,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,switch/problem,switch,bfs,,,,0,0,15.0,2048,solved,True,True,0.0031475500000013312,3,3,,,4,7,0,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
ci-weekly,classical,jupyddl,switch/problem,switch,gbfs,hff,,,0,0,15.0,2048,solved,True,True,0.0035819729999957417,3,3,,,3,6,5,21.34,,,2026-08-20T22:21:18+00:00,0.1.0,d2a32a74ad18,3.12.14,Linux 6.17.0-1022-azure (x86_64),AMD EPYC 7763 64-Core Processor,4,runnervm76f27,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.11.1"", ""numpy"": ""2.5.2"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",2
