suite,family,adapter,instance,instance_group,planner,heuristic,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,0,0,20.0,3072,timeout,False,False,20.011336802999722,,,,,,,,53.59,,time limit (20s) reached after 3286 nodes,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,1,0,20.0,3072,timeout,False,False,20.029480205001164,,,,,,,,87.59,,time limit (20s) reached after 5727 nodes,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,2,0,20.0,3072,solved,True,True,0.06261219799853279,265.0,,28,265,14,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,3,0,20.0,3072,solved,True,True,7.886238243001571,171.0,,19,171,3218,,,49.34,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,4,0,20.0,3072,solved,True,True,0.014391764998435974,182.0,,23,182,4,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,"{""weight"": 1.5}",0,0,20.0,3072,solved,True,True,0.037422794001031434,220.0,,24,220,9,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,"{""weight"": 1.5}",1,0,20.0,3072,solved,True,True,0.11141274500187137,239.0,,24,239,31,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,"{""weight"": 1.5}",2,0,20.0,3072,solved,True,True,0.04790853400118067,266.0,,28,266,10,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,"{""weight"": 1.5}",3,0,20.0,3072,solved,True,True,0.037138594998396,171.0,,19,171,13,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,"{""weight"": 1.5}",4,0,20.0,3072,solved,True,True,0.014017159999639262,182.0,,23,182,4,,,18.68,,,2026-08-20T21:15:31+00:00,0.1.0,11ee4e8b997a,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
