suite,family,adapter,instance,instance_group,planner,heuristic,variant,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,,0,0,20.0,3072,timeout,False,False,20.01688412400108,,,,,,,,55.1,,time limit (20s) reached after 3403 nodes,2026-08-21T16:25:36+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,,1,0,20.0,3072,timeout,False,False,20.02292668600421,,,,,,,,79.97,,time limit (20s) reached after 5173 nodes,2026-08-21T16:25:56+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,,2,0,20.0,3072,solved,True,True,0.06784056199830957,265.0,,28,265,14,,,18.83,,,2026-08-21T16:25:56+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,,3,0,20.0,3072,solved,True,True,8.505178330997296,171.0,,19,171,3218,,,49.35,,,2026-08-21T16:26:04+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,cbs,,,,4,0,20.0,3072,solved,True,True,0.01604813800076954,182.0,,23,182,4,,,18.83,,,2026-08-21T16:26:04+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,,"{""weight"": 1.5}",0,0,20.0,3072,solved,True,True,0.043064914003480226,220.0,,24,220,9,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,,"{""weight"": 1.5}",1,0,20.0,3072,solved,True,True,0.12034308099828195,239.0,,24,239,31,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,,"{""weight"": 1.5}",2,0,20.0,3072,solved,True,True,0.052662131005490664,266.0,,28,266,10,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,,"{""weight"": 1.5}",3,0,20.0,3072,solved,True,True,0.04047800099942833,171.0,,19,171,13,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,wcbs,,,"{""weight"": 1.5}",4,0,20.0,3072,solved,True,True,0.016316902001562994,182.0,,23,182,4,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,prioritized,,,,0,0,20.0,3072,solved,True,True,0.02363605300342897,214.0,,26,214,16,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,prioritized,,,,1,0,20.0,3072,solved,True,True,0.028884766004921403,254.0,,24,254,16,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,prioritized,,,,2,0,20.0,3072,solved,True,True,0.024235218996182084,268.0,,28,268,16,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,prioritized,,,,3,0,20.0,3072,solved,True,True,0.021187746002397034,179.0,,19,179,16,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,prioritized,,,,4,0,20.0,3072,solved,True,True,0.018590462001156993,184.0,,23,184,16,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-density,mapf,pymapf,random_obstacles/20x20/n16/d0.05,random_obstacles/d0.05,pibt,,,,0,0,20.0,3072,solved,True,True,0.01335489299526671,240.0,,24,240,24,,,18.83,,,2026-08-21T16:26:05+00:00,0.1.0,1c81f77e6938,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
