suite,family,adapter,instance,instance_group,planner,heuristic,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,0,0,20.0,3072,solved,True,True,0.0015514659971813671,60.0,,21,60,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,1,0,20.0,3072,solved,True,True,0.0007388640005956404,38.0,,12,38,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,2,0,20.0,3072,solved,True,True,0.0007954169996082783,42.0,,15,42,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,3,0,20.0,3072,solved,True,True,0.001447061000362737,33.0,,12,33,2,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,4,0,20.0,3072,solved,True,True,0.0012862460025644396,58.0,,20,58,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,"{""weight"": 1.5}",0,0,20.0,3072,solved,True,True,0.0015902609993645456,60.0,,21,60,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,"{""weight"": 1.5}",1,0,20.0,3072,solved,True,True,0.0007557410026493017,38.0,,12,38,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,"{""weight"": 1.5}",2,0,20.0,3072,solved,True,True,0.0009065099984582048,42.0,,15,42,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,"{""weight"": 1.5}",3,0,20.0,3072,solved,True,True,0.001536485997348791,33.0,,12,33,2,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,"{""weight"": 1.5}",4,0,20.0,3072,solved,True,True,0.0012891970000055153,58.0,,20,58,1,,,18.86,,,2026-08-20T21:08:59+00:00,0.1.0,178bb24e4468,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",1
