suite,family,adapter,instance,instance_group,planner,heuristic,variant,config,seed,repetition,timeout_s,memory_limit_mb,outcome,solved,valid,wall_time_s,cost,plan_length,makespan,sum_of_costs,expanded,generated,evaluated,peak_rss_mb,error,note,timestamp_utc,harness_version,harness_sha,python_version,platform,cpu_model,cpu_count,hostname,package_versions,schema_version
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,,0,0,20.0,3072,solved,True,True,0.0020851149965892546,60.0,,21,60,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,,1,0,20.0,3072,solved,True,True,0.0007988039942574687,38.0,,12,38,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,,2,0,20.0,3072,solved,True,True,0.0008614069956820458,42.0,,15,42,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,,3,0,20.0,3072,solved,True,True,0.0015551050018984824,33.0,,12,33,2,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,cbs,,,,4,0,20.0,3072,solved,True,True,0.0013643179991049692,58.0,,20,58,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,,"{""weight"": 1.5}",0,0,20.0,3072,solved,True,True,0.0035848710031132214,60.0,,21,60,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,,"{""weight"": 1.5}",1,0,20.0,3072,solved,True,True,0.0007832289993530139,38.0,,12,38,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,,"{""weight"": 1.5}",2,0,20.0,3072,solved,True,True,0.0008216049973270856,42.0,,15,42,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,,"{""weight"": 1.5}",3,0,20.0,3072,solved,True,True,0.0014957320017856546,33.0,,12,33,2,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
mapf-scaling,mapf,pymapf,random_obstacles/16x16/n4/d0.15,random_obstacles/d0.15,wcbs,,,"{""weight"": 1.5}",4,0,20.0,3072,solved,True,True,0.001315936002356466,58.0,,20,58,1,,,18.82,,,2026-08-21T16:39:44+00:00,0.1.0,7c0b8e81ea92,3.10.12,Linux 6.8.0-136-generic (x86_64),11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz,16,wardn-thinkpad,"{""cuda-planning"": ""not-installed"", ""jupyddl"": ""2.3.0"", ""matplotlib"": ""3.10.9"", ""numpy"": ""2.2.6"", ""openplan-bench"": ""0.1.0"", ""pymapf"": ""0.8.0""}",3
